Date,Name,Age,Position,Nationality,Club Left,League Left,Club Joined,League Joined,Market Valuation,Transfer
"Sep 20, 2011",Levi Porter,24,Midfielder,England,"
Without Club ",,"
Hinckley United ",,500 K €,-
"Sep 20, 2011",Gerardo Alfano,29,Defensive Midfield,Italy,"
Without Club ",,"
Sarnese ",,150 K €,-
"Sep 21, 2011",Laurent Gagnier,32,Centre-Forward,France,"
JS Beaulieu ", France		,"
Red Star FC ",,450 K €,Free transfer
"Sep 21, 2011",Angelo Vaccaro,29,Centre-Forward,Italy,"
Without Club ",,"
SSV Reutlingen ",,100 K €,-
"Sep 21, 2011",Nicola Redomi,23,Central Midfield,Italy,"
Without Club ",,"
Lucchese ",,300 K €,-
"Sep 22, 2011",Tommy Wright,26,Centre-Forward,England,"
Darlington ", National League ,"
Kidderminster ",,225 K €,Free transfer
"Sep 22, 2011",Levent Kayatekin,32,Defender,Turkey,"
Ümraniyespor ", 3.Lig Grup 1 ,"
Manisa FK ",,50 K €,Free transfer
"Sep 22, 2011",Steve Collis,30,Goalkeeper,England,"
Peterborough ", Championship ,"
Macclesfield ",,75 K €,Free transfer
"Sep 22, 2011",Tiberiu Balan,30,Attacking Midfield,Romania,"
Studentesc ", Liga 1 ,"
FCSB ",,"1,10 mil. €",Free transfer
"Sep 22, 2011",Halil Ibrahim Alan,25,Centre-Forward,Turkey,"
Adivar SK ", Turkey		,"
Manisa FK ",,25 K €,Free transfer
"Sep 22, 2011",Eder Baù,29,Right Winger,Italy,"
Trento ", Italy		,"
Sarcedo ",,200 K €,?
"Sep 22, 2011",Mauro Aldave,26,Centre-Forward,Uruguay,"
Técnico U. ", Ecuador		,"
The Strongest ",,200 K €,?
"Sep 22, 2011",Stéphane Zubar,24,Centre-Back,Guadeloupe,"
Without Club ",,"
Bournemouth ",,600 K €,-
"Sep 23, 2011",Feridun Sungur,27,Right-Back,Turkey,"
Giresunspor ", 1.Lig ,"
Lefke TSK ",,150 K €,Free transfer
"Sep 23, 2011",Sedat Doyanc,32,Defensive Midfield,Turkey,"
Elazig Belediye ", 3.Lig Grup 1 ,"
Türk Ocagi ",,50 K €,Free transfer
"Sep 23, 2011",Francesco Galeoto,39,Right-Back,Italy,"
Barletta ", Serie C - B ,"
Campofranco ",,50 K €,Free transfer
"Sep 23, 2011",Mehmet Yenisehir,29,Midfielder,Turkey,"
Usak Idare ", Turkey		,"
Z. Kömürspor ",,50 K €,Free transfer
"Sep 23, 2011",Kamil Sener,27,Right-Back,Turkey,"
1922 Konya ", 2.Lig Beyaz ,"
Z. Kömürspor ",,50 K €,Free transfer
"Sep 23, 2011",Marcin Wojciechowski,29,Attacking Midfield,Poland,"
Warta Poznan ", 1 Liga ,"
Nielba ",,175 K €,Free transfer
"Sep 23, 2011",Murat Yilmaz,25,Left Winger,Turkey,"
Istanbulspor ", Turkey		,"
Z. Kömürspor ",,50 K €,Free transfer
"Sep 23, 2011",Yüksel Gülec,25,Centre-Forward,Turkey,"
Körfez SK ", 2.Lig Kirmizi ,"
Z. Kömürspor ",,75 K €,Free transfer
"Sep 23, 2011",Gökhan Kirikkaya,20,Forward,Turkey,"
Tepecik Spor ", 2.Lig Beyaz ,"
Arnavutköy Bld ",,25 K €,Free transfer
"Sep 23, 2011",Bilal Sezer,33,Defensive Midfield,Turkey,"
Ciftlikköy Bld ", Turkey		,"
Armutlu Bld ",,100 K €,?
"Sep 23, 2011",Mustafa Göktas,31,Midfielder,Turkey,"
Fener Spor ", Turkey		,"
Z. Kömürspor ",,100 K €,?
"Sep 23, 2011",Hakan Bayhan,22,Midfielder,Turkey,"
Lüleburgazspor ", 3.Lig Grup 1 ,"
Arnavutköy Bld ",,25 K €,?
"Sep 23, 2011",Fatih Sonkaya,30,Right-Back,Turkey,"
Without Club ",,"
Cetinkaya TSK ",,200 K €,-
"Sep 23, 2011",Josip Jerneic,31,Centre-Forward,Croatia,"
Without Club ",,"
NK Losinj ",,400 K €,-
"Sep 23, 2011",Martin Grehan,26,Centre-Forward,Scotland,"
Without Club ",,"
Stranraer ",,150 K €,-
"Sep 23, 2011",Ercan Isik,26,Midfielder,Turkey,"
Without Club ",,"
Yenibosna ",,25 K €,-
"Sep 24, 2011",Gustave Bebbe,29,Centre-Forward,Cameroon,"
Kasimpasa ", 1.Lig ,"
Bostanci Bagcil ",,250 K €,Free transfer
"Sep 26, 2011",Özkan Bilgic,20,Goalkeeper,Turkey,"
Unknown ",,"
Kiziltepespor ",,50 K €,Free transfer
"Sep 26, 2011",Jorge Ramírez,25,Centre-Forward,Uruguay,"
Oriente P. ", Bolivia		,"
Rentistas ",,275 K €,Free transfer
"Sep 26, 2011",Vangelis Moras,30,Centre-Back,Greece,"
Without Club ",,"
Swansea ",,"2,10 mil. €",-
"Sep 26, 2011",Antonio Langella,34,Left Winger,Italy,"
Bari ", Serie B ,"
Retired ",,100 K €,-
"Sep 27, 2011",Sercan Bulut,20,Centre-Back,Turkey,"
Arhavi Spor ", Turkey		,"
Sivasspor U21 ",,25 K €,Free transfer
"Sep 27, 2011",Orhan Onuk,27,Right Midfield,Turkey,"
Turgutreis Spor ", Turkey		,"
Ardesenspor ",,25 K €,Free transfer
"Sep 27, 2011",Nico Frommer,33,Centre-Forward,Germany,"
Without Club ",,"
1.FC Heidenheim ",,250 K €,-
"Sep 27, 2011",Tobias Kurbjuweit,28,Right Midfield,Germany,"
Without Club ",,"
BFC Dynamo ",,100 K €,-
"Sep 28, 2011",Pascal Chimbonda,32,Right-Back,Guadeloupe,"
QPR ", Premier League ,"
Doncaster ",,"1,00 mil. €",Free transfer
"Sep 28, 2011",Cagri Cifci,22,Defender,Turkey,"
Bozüyükspor  ", 2.Lig Beyaz ,"
Eskisehir Demir ",,50 K €,Free transfer
"Sep 28, 2011",Hamdi Algü,23,Centre-Back,Turkey,"
Edirne Spor GK ", Turkey		,"
Toroslar Bld ",,50 K €,Free transfer
"Sep 28, 2011",Turgut Gönültas,31,Attacking Midfield,Turkey,"
I. Güngörenspor ", 1.Lig ,"
Karagümrük ",,150 K €,Free transfer
"Sep 28, 2011",Hakan Demir,20,Centre-Forward,Turkey,"
Sivas Belediye ", Turkey		,"
Bld Kütahya ",,50 K €,Free transfer
"Sep 28, 2011",Halit Güven Kocabal,32,Central Midfield,Turkey,"
Eyüpspor ", 2.Lig Kirmizi ,"
Alibeyköy ",,100 K €,?
"Sep 28, 2011",Fatih Sari,34,Midfielder,Turkey,"
Gebzespor ", 3.Lig Grup 1 ,"
Usak Spor AS ",,25 K €,?
"Sep 28, 2011",Mohamed El Yamani,29,Centre-Forward,Egypt,"
Floriana ", Premier League ,"
Retired ",,100 K €,-
"Sep 28, 2011",Eray Firat,22,Central Midfield,Turkey,"
Without Club ",,"
Karagümrük ",,25 K €,-
"Sep 28, 2011",Ismail Büyüksolak,26,Left-Back,Turkey,"
Without Club ",,"
Turgutreis Spor ",,50 K €,-
"Sep 29, 2011",Harry Kewell,33,Left Winger,Australia,"
Galatasaray ", Süper Lig ,"
Melbourne ",,"4,00 mil. €",Free transfer
"Sep 29, 2011",Serkan Sen,29,Goalkeeper,Turkey,"
Derince Spor ", Turkey		,"
Zara Belediye ",,100 K €,Free transfer
"Sep 29, 2011",Seyhun Türe,25,Goalkeeper,Turkey,"
Araklispor  ", Turkey		,"
Kozlu Belediye ",,50 K €,Free transfer
"Sep 29, 2011",Kamil Aslan,30,Right Midfield,Turkey,"
Usak Idare ", Turkey		,"
Erzin Spor ",,50 K €,Free transfer
"Sep 29, 2011",Barbaros Sahin,23,Goalkeeper,Turkey,"
1308 Osmaneli ", Turkey		,"
Usak Spor AS ",,50 K €,Free transfer
"Sep 29, 2011",Ugur Aydin,30,Central Midfield,Turkey,"
Yesil Bursa ", Turkey		,"
Kozlu Belediye ",,50 K €,Free transfer
"Sep 29, 2011",Hüseyin Öztürk,24,Midfielder,Turkey,"
Ilkadim Yab-Pa ", Turkey		,"
1930 Bafra Spor ",,25 K €,Free transfer
"Sep 29, 2011",Eyup Atas,22,Central Midfield,Turkey,"
68 Yeni Aksaray ", Turkey		,"
Bartinspor ",,25 K €,Free transfer
"Sep 29, 2011",Gökhan Yetkin,27,Left-Back,Turkey,"
Bozüyükspor  ", 2.Lig Beyaz ,"
Beyköy Belediye ",,25 K €,Free transfer
"Sep 29, 2011",Ugur Süvari,21,Midfielder,Turkey,"
G.Birligi U21 ", Turkey		,"
Kazan Belediye ",,50 K €,Free transfer
"Sep 29, 2011",Javier Umbides,29,Central Midfield,Argentina,"
Olymp. Volou ", Greece		,"
Aris Saloniki ",,"1,00 mil. €",Free transfer
"Sep 29, 2011",Tayfun Onat,26,Goalkeeper,Turkey,"
Körfez SK ", 2.Lig Kirmizi ,"
Erzin Spor ",,25 K €,Free transfer
"Sep 29, 2011",Selim Özduman,21,Right Winger,Turkey,"
Beyköy Belediye ", Turkey		,"
Düzce Spor ",,25 K €,Free transfer
"Sep 29, 2011",Vahap Yildiztepe,23,Centre-Back,Turkey,"
Erzincanspor ", Turkey		,"
Kurtalan Spor ",,50 K €,Free transfer
"Sep 29, 2011",Thomas Cotty,24,Left-Back,France,"
Stade Brest 29 ", Ligue 1 ,"
Concarneau ",,50 K €,Free transfer
"Sep 29, 2011",Pavlos Mitropoulos,21,Defensive Midfield,Greece,"
Olymp. Volou ", Greece		,"
Panetolikos ",,400 K €,Free transfer
"Sep 29, 2011",Ali Sevimli,20,Right-Back,Turkey,"
Bagcilar SK ", Turkey		,"
Zara Belediye ",,50 K €,Free transfer
"Sep 29, 2011",Murat Kurt,26,Attacking Midfield,Turkey,"
Sakaryaspor ", 1.Lig ,"
5 Temmuz Isk. ",,25 K €,Free transfer
"Sep 29, 2011",Murat Sözkesen,36,Centre-Forward,Turkey,"
Unknown ",,"
Bartinspor ",,100 K €,?
"Sep 29, 2011",Remzi Acet,36,Midfielder,Turkey,"
BB Erzurumspor ", Turkey		,"
1930 Bafra Spor ",,50 K €,?
"Sep 29, 2011",Fatih Aytekin,31,Right Winger,Turkey,"
Fener Spor ", Turkey		,"
1930 Bafra Spor ",,100 K €,?
"Sep 29, 2011",Bahtiyar Bacanli,29,Defender,Turkey,"
Bereketli Spor ", Turkey		,"
Konakspor ",,200 K €,?
"Sep 29, 2011",Tuncay Selcuk,31,Midfielder,Turkey,"
Dersim Spor ", Turkey		,"
Malatyaspor ",,100 K €,?
"Sep 29, 2011",Mark Carrington,24,Right-Back,England,"
Without Club ",,"
Bury ",,50 K €,-
"Sep 29, 2011",Ali Simsek,22,Midfielder,Turkey,"
Without Club ",,"
Cerkezköy ",,75 K €,-
"Sep 30, 2011",Ceyhun Eris,34,Attacking Midfield,Turkey,"
Denizlispor ", 1.Lig ,"
Dogan TBSK ",,500 K €,Free transfer
"Sep 30, 2011",Arif Cem Kayikci,25,Centre-Back,Turkey,"
Kilimli Bld ", Turkey		,"
1930 Bafra Spor ",,50 K €,Free transfer
"Sep 30, 2011",Serkan Akyüz,27,Centre-Forward,Turkey,"
Erganispor ", Turkey		,"
Sultangazi Spor ",,50 K €,Free transfer
"Sep 30, 2011",Yunus Balaban,27,Attacking Midfield,Germany,"
Adiyamanspor ", 2.Lig Kirmizi ,"
Z. Kömürspor ",,100 K €,Free transfer
"Sep 30, 2011",Stathis Rokas,27,Defensive Midfield,Greece,"
Olymp. Volou ", Greece		,"
Panionios ",,600 K €,Free transfer
"Sep 30, 2011",Ali Mumcu,32,Attacking Midfield,Turkey,"
Kozlu Belediye ", Turkey		,"
Istanbul Kulübü ",,25 K €,Free transfer
"Sep 30, 2011",George O'Callaghan,32,Attacking Midfield,Ireland,"
Cambridge Utd. ", National League ,"
DPMM FC ",,125 K €,Free transfer
"Sep 30, 2011",Basar Öner,32,Defensive Midfield,Turkey,"
Karagümrük ", Turkey		,"
Vefaspor ",,100 K €,Free transfer
"Sep 30, 2011",Önder Serdar,26,Forward,Turkey,"
Fatsa Belediye ", Turkey		,"
1926 Bulancak ",,50 K €,Free transfer
"Sep 30, 2011",Levent Yücel,30,Centre-Back,Turkey,"
Manavgatspor ", 3.Lig Grup 1 ,"
Istanbul Kulübü ",,100 K €,Free transfer
"Sep 30, 2011",Stephen Brogan,23,Left Midfield,England,"
Alfreton ", National League ,"
Stalybridge Celtic FC ",,75 K €,Free transfer
"Sep 30, 2011",Orhan Sahin,25,Defensive Midfield,Turkey,"
Kastamonuspor ", 3.Lig Grup 1 ,"
Kayseri Seker ",,50 K €,Free transfer
"Sep 30, 2011",Ibrahim Özder,28,Attacking Midfield,Turkey,"
Cine Madranspor ", Turkey		,"
REO Atilla ",,50 K €,Free transfer
"Sep 30, 2011",Jo Kuffour,29,Centre-Forward,England,"
Bristol Rovers ", League Two ,"
Gillingham FC ",,375 K €,Free transfer
"Sep 30, 2011",Halim Kurtulus,24,Right-Back,Turkey,"
Unknown ",,"
Yalovaspor ",,50 K €,Free transfer
"Sep 30, 2011",Serkan Askin Aggez,22,Midfielder,Turkey,"
Beylikdüzü ", Turkey		,"
Sincan Belediye ",,50 K €,Free transfer
"Sep 30, 2011",Samet Cavdar,22,Goalkeeper,Turkey,"
Ödemis Belediye ", Turkey		,"
Karagümrük ",,50 K €,Free transfer
"Sep 30, 2011",Hasan Hüseyin Karaoglu,23,Defender,Turkey,"
Konya GB ", Turkey		,"
Beysehir Bld ",,50 K €,Free transfer
"Sep 30, 2011",Ridvan Okus,21,Centre-Back,Turkey,"
Kirsehirspor ", Turkey		,"
Zeytinburnuspor ",,50 K €,Free transfer
"Sep 30, 2011",Ersal Akaydin,22,Centre-Forward,Turkey,"
B.Cekmece Bld ", Turkey		,"
Silivrispor ",,50 K €,Free transfer
"Sep 30, 2011",Abdullah Hün,30,Centre-Back,Turkey,"
BB Erzurumspor ", Turkey		,"
Edirne Spor GK ",,25 K €,Free transfer
"Sep 30, 2011",Ramazan Yarali,21,Right Midfield,Turkey,"
Polatlispor ", Turkey		,"
Bulancakspor ",,25 K €,Free transfer
"Sep 30, 2011",Hakan Yildiz,26,Centre-Back,Turkey,"
Unknown ",,"
1926 Bulancak ",,25 K €,Free transfer
"Sep 30, 2011",Mustafa Köse,22,Right Winger,Turkey,"
Kesanspor ", Turkey		,"
Erzin Spor ",,25 K €,Free transfer
"Sep 30, 2011",Ahmet Tanrikulu,21,Midfielder,Turkey,"
K. Erciyesspor ", 1.Lig ,"
Kayseri Seker ",,25 K €,Free transfer
"Oct 1, 2011",Wes Foderingham,20,Goalkeeper,England,"
Palace U23 ", England		,"
Swindon Town ",,75 K €,110 K €
"Oct 1, 2011",Michal Kubala,31,Central Midfield,Slovakia,"
Astra Giurgiu ", Liga 1 ,"
Perak TBG ",,650 K €,100 K €
"Oct 1, 2011",Carlos Varela,34,Right Winger,Switzerland,"
FC Wohlen ", Challenge League ,"
FC Köniz ",,350 K €,Free transfer
"Oct 1, 2011",Yves Makabu-Makalambay,25,Goalkeeper,DR Congo,"
Swansea ", Premier League ,"
KV Mechelen ",,550 K €,Free transfer
"Oct 1, 2011",Marco di Biccari,28,Right-Back,Germany,"
Türkiyemspor ", NOFV-Oberliga Nord ,"
San Antonio  ",,50 K €,Free transfer
"Oct 1, 2011",David Carney,27,Left Winger,Australia,"
Blackpool ", Championship ,"
Alcorcón ",,"1,00 mil. €",Free transfer
"Oct 1, 2011",Craig Armstrong,36,Left Midfield,England,"
Boston United ", England		,"
Hucknall Town FC ",,50 K €,Free transfer
"Oct 1, 2011",Michael Phillips,28,Midfielder,England,"
Unknown ",,"
Maidstone ",,50 K €,Free transfer
"Oct 1, 2011",Tyrone Berry,24,Centre-Forward,England,"
Without Club ",,"
Burgess Hill ",,50 K €,Free transfer
"Oct 1, 2011",Damir Dzombic,26,Centre-Back,Switzerland,"
FC Schaffhausen ", 1.Liga gr. 3 ,"
FC Schötz ",,250 K €,Free transfer
"Oct 1, 2011",Zoltán Szélesi,29,Right-Back,Hungary,"
Olymp. Volou ", Greece		,"
NEC Nijmegen ",,"1,00 mil. €",Free transfer
"Oct 1, 2011",Darko Lukanovic,27,Centre-Forward,Sweden,"
Bunkeflo ", Ettan Södra ,"
Vointa Sibiu ",,100 K €,Free transfer
"Oct 1, 2011",Alain Koudou,26,Centre-Forward,Cote d'Ivoire,"
Carquefou ", France		,"
US Sainte-Anne de Vertou ",,350 K €,Free transfer
"Oct 1, 2011",Leon Constantine,33,Centre-Forward,England,"
Braintree ", National League ,"
Lewes ",,250 K €,Free transfer
"Oct 1, 2011",Ondrej Szabo,32,Attacking Midfield,Czech Republic,"
Hlavice ", Czech Republic		,"
FK Strizkov ",,175 K €,Free transfer
"Oct 1, 2011",Emmanuel,27,Centre-Back,Cameroon,"
NK Tresnjevka ", Croatia		,"
NK Nur Zagreb ",,50 K €,Free transfer
"Oct 1, 2011",Sonay Hayran,24,Left-Back,Turkey,"
Hacettepe ", 3.Lig Grup 1 ,"
TBS Pinneberg ",,100 K €,Free transfer
"Oct 1, 2011",Grzegorz Szymanek,25,Centre-Forward,Poland,"
Gornik Leczna ", 1 Liga ,"
SV Gonsenheim ",,100 K €,Free transfer
"Oct 1, 2011",Dalibor Stevanovic,27,Central Midfield,Slovenia,"
Vitesse ", Eredivisie ,"
Volyn Lutsk ",,"1,25 mil. €",Free transfer
"Oct 1, 2011",Chris Howarth,25,Goalkeeper,England,"
Chorley FC ", England		,"
Salford ",,150 K €,Free transfer
"Oct 1, 2011",Martin Geisthardt,23,Goalkeeper,Germany,"
TSV Völpke ", Germany		,"
TSV Wieblingen ",,50 K €,Free transfer
"Oct 1, 2011",Florent Aziri,23,Right Winger,Germany,"
NK Domzale ", Prva Liga ,"
Without Club ",,50 K €,Free transfer
"Oct 1, 2011",Philipp Peters,23,Central Midfield,Germany,"
G. Halberstadt ", RL Nord (bis 11/12) ,"
SSV Vorsfelde ",,50 K €,Free transfer
"Oct 1, 2011",Denis Hromovs,25,Central Midfield,Latvia,"
FK Jauniba ", Latvia		,"
Quorn FC ",,75 K €,Free transfer
"Oct 1, 2011",Sandi Hudorovic,22,Attacking Midfield,Croatia,"
NK Lucko ", 1.HNL ,"
Croatia Sesvete ",,50 K €,Free transfer
"Oct 3, 2011",André Schembri,25,Centre-Forward,Malta,"
Olymp. Volou ", Greece		,"
Panionios ",,800 K €,Free transfer
"Oct 3, 2011",Anastasios Avlonitis,21,Centre-Back,Greece,"
AO Kavala ", Greece		,"
Panionios ",,200 K €,Free transfer
"Oct 3, 2011",Giannis Zaradoukas,25,Left-Back,Greece,"
Olymp. Volou ", Greece		,"
Olympiacos ",,800 K €,Free transfer
"Oct 3, 2011",Orcun Arslan,26,Goalkeeper,Turkey,"
Without Club ",,"
Sultanbeyli Bld ",,100 K €,-
"Oct 4, 2011",Abdullah Boz,31,Central Midfield,Turkey,"
Unknown ",,"
Foca Belediye ",,50 K €,Free transfer
"Oct 4, 2011",Ante Covic,36,Goalkeeper,Australia,"
Elfsborg ", Allsvenskan ,"
Melbourne ",,300 K €,Free transfer
"Oct 4, 2011",Jean-Jacques Mandrichi,27,Centre-Forward,France,"
FC Nantes ", Ligue 2 ,"
LB Châteauroux ",,700 K €,Free transfer
"Oct 4, 2011",Norbert Bartyik,28,Right Midfield,Hungary,"
Without Club ",,"
Hódmezövásárhely FC ",,50 K €,Free transfer
"Oct 4, 2011",Alexandros Zeris,17,Right-Back,Greece,"
Olymp. Volou ", Greece		,"
Panetolikos ",,150 K €,Free transfer
"Oct 4, 2011",Dusan Pavlov,22,Centre-Forward,Serbia,"
FK TSC ", Serbia		,"
Egri FC ",,25 K €,Free transfer
"Oct 4, 2011",Christian Alder,33,Centre-Back,Germany,"
Without Club ",,"
SV Rödinghausen ",,150 K €,-
"Oct 4, 2011",Nelson Rivas,28,Centre-Back,Colombia,"
Without Club ",,"
Montreal Impact ",,"1,80 mil. €",-
"Oct 4, 2011",Balázs B.Tóth,25,Right-Back,Hungary,"
Without Club ",,"
Szolnok ",,150 K €,-
"Oct 4, 2011",Patrick De Vlamynck,34,Goalkeeper,Belgium,"
Without Club ",,"
Mouscron ",,100 K €,-
"Oct 5, 2011",Peter Ofori-Quaye,31,Centre-Forward,Ghana,"
Hearts of Oak ", Ghana		,"
Bechem United ",,750 K €,Free transfer
"Oct 5, 2011",Andy Holdsworth,27,Right-Back,England,"
Alfreton ", National League ,"
Guiseley ",,50 K €,Free transfer
"Oct 5, 2011",Ahmed Heshmat,30,Left Midfield,Egypt,"
Smouha ", Premier League ,"
Suez Club ",,25 K €,?
"Oct 5, 2011",Tomislav Labudovic,25,Centre-Back,Croatia,"
Without Club ",,"
Persiba ",,150 K €,-
"Oct 6, 2011",Mehmet Akif Sadirli,25,Left-Back,Turkey,"
Siirtspor ", Turkey		,"
Erzin Spor ",,50 K €,Free transfer
"Oct 6, 2011",Louis Horne,20,Centre-Back,England,"
Hinckley United ", England		,"
Buxton FC ",,75 K €,Free transfer
"Oct 6, 2011",Andreas Hinkel,29,Right-Back,Germany,"
Without Club ",,"
SC Freiburg ",,"1,50 mil. €",-
"Oct 6, 2011",Jakub Kaszuba,23,Centre-Forward,Poland,"
Without Club ",,"
Kaszubia Koscierzyna ",,150 K €,-
"Oct 7, 2011",Niyazi Hüseyinoglu,34,Centre-Back,Turkey,"
Körfez SK ", 2.Lig Kirmizi ,"
Corlu GB ",,50 K €,Free transfer
"Oct 7, 2011",Ahmet Gercek,28,Midfielder,Turkey,"
Unknown ",,"
Firat Üni ",,50 K €,Free transfer
"Oct 7, 2011",Stéphane Darbion,27,Left Midfield,France,"
Olymp. Volou ", Greece		,"
AO Xanthi ",,800 K €,Free transfer
"Oct 7, 2011",Ante Batarelo,26,Defensive Midfield,Croatia,"
Karlovac 1919 ", 1.HNL ,"
NK Istra ",,500 K €,Free transfer
"Oct 7, 2011",Bruno Prlic,28,Right Winger,Bosnia-Herzegovina,"
NK Imotski ", 2.HNL ,"
Croat. Zmijavci ",,100 K €,Free transfer
"Oct 7, 2011",Onur Yildirim,26,Midfielder,Turkey,"
Manavgatspor ", 3.Lig Grup 1 ,"
Istanbul Kulübü ",,50 K €,Free transfer
"Oct 7, 2011",Fatih Erdem,21,Centre-Back,Turkey,"
Eyüpspor ", 2.Lig Kirmizi ,"
Edirne Spor GK ",,50 K €,Free transfer
"Oct 7, 2011",Eddie Oshodi,19,Centre-Back,England,"
Watford U23 ", England		,"
Forest Green ",,50 K €,Free transfer
"Oct 7, 2011",Santiago Bello,27,Centre-Forward,Uruguay,"
CA Atenas ", Segunda División ,"
Maldonado ",,275 K €,Free transfer
"Oct 7, 2011",Igor Mardjetko,23,Forward,Croatia,"
HNSK Moslavina ", Croatia		,"
NK Sokol VL ",,50 K €,?
"Oct 7, 2011",Sami Bayram,30,Defender,Turkey,"
Without Club ",,"
T. Idmanocagi ",,25 K €,-
"Oct 7, 2011",Robert Deak,21,Defender,Croatia,"
Without Club ",,"
NK Zminj ",,100 K €,-
"Oct 8, 2011",Emmanuel Krontiris,28,Centre-Forward,Germany,"
Without Club ",,"
Unterhaching ",,400 K €,-
"Oct 8, 2011",Pascal Johansen,32,Central Midfield,France,"
Without Club ",,"
FC Mulhouse ",,300 K €,-
"Oct 10, 2011",Erkan Ari,24,Central Midfield,Germany,"
Without Club ",,"
Velbert 02 ",,75 K €,-
"Oct 11, 2011",Exodus Geohaghon,26,Centre-Back,England,"
Barnet ", League Two ,"
Darlington ",,75 K €,Free transfer
"Oct 11, 2011",Kaan Tasar,19,Centre-Back,Turkey,"
Adanaspor U21 ", Turkey		,"
Nigde Anadolu ",,25 K €,Free transfer
"Oct 11, 2011",Joey Didulica,33,Goalkeeper,Croatia,"
AZ Alkmaar ", Eredivisie ,"
Retired ",,750 K €,-
"Oct 11, 2011",Luigi Bruins,24,Central Midfield,Netherlands,"
Without Club ",,"
RB Salzburg ",,"1,50 mil. €",-
"Oct 11, 2011",Cyrille Merville,29,Goalkeeper,France,"
Without Club ",,"
Nîmes Olympique ",,800 K €,-
"Oct 11, 2011",Marin Matos,22,Attacking Midfield,Croatia,"
Without Club ",,"
Cibalia ",,150 K €,-
"Oct 12, 2011",Ilias Solakis,36,Centre-Forward,Greece,"
Olymp. Volou ", Greece		,"
Asteras Tripoli ",,200 K €,Free transfer
"Oct 12, 2011",Ousmane Bagayoko,26,Centre-Forward,Mali,"
T. Beni Suef ", Premier League ,"
A. Damanhour ",,25 K €,?
"Oct 12, 2011",Andreas Lukse,23,Goalkeeper,Austria,"
Without Club ",,"
FC Lustenau ",,150 K €,-
"Oct 12, 2011",Zoltán Szatmári,32,Goalkeeper,Hungary,"
Without Club ",,"
BFC Siófok ",,100 K €,-
"Oct 13, 2011",Melik Balkas,25,Right Winger,Turkey,"
Istanbulspor ", Turkey		,"
Z. Kömürspor ",,50 K €,Free transfer
"Oct 13, 2011",Fatih Tutar,27,Centre-Forward,Turkey,"
Kozlu Belediye ", Turkey		,"
Z. Kömürspor ",,50 K €,Free transfer
"Oct 13, 2011",Hakan Cindik,20,Defender,Turkey,"
Unknown ",,"
Atakum Belediye ",,25 K €,Free transfer
"Oct 13, 2011",Murat Korkmaz,28,Central Midfield,Netherlands,"
Kirsehirspor ", Turkey		,"
Blauw Geel '38 ",,50 K €,?
"Oct 13, 2011",Muhammed Fatih Cirak,26,Centre-Back,Turkey,"
Aydinspor 1923 ", Turkey		,"
Karaman Bld ",,50 K €,?
"Oct 13, 2011",Tjörven De Brul,38,Centre-Back,Belgium,"
SK Berlare ", Belgium		,"
Retired ",,200 K €,-
"Oct 13, 2011",Roy Essandoh,35,Centre-Forward,Northern Ireland,"
Bury Town ", England		,"
Retired ",,50 K €,-
"Oct 13, 2011",Gianluca Simari,21,Attacking Midfield,Italy,"
Without Club ",,"
SV Heimstetten ",,50 K €,-
"Oct 14, 2011",Halim Karaköse,34,Centre-Forward,Turkey,"
K. Erciyesspor ", 1.Lig ,"
Manavgat Bld ",,25 K €,Free transfer
"Oct 14, 2011",Mehmet Yenisehir,29,Midfielder,Turkey,"
Z. Kömürspor ", Turkey		,"
REO Atilla ",,50 K €,Free transfer
"Oct 14, 2011",Hrvoje Visic,28,Goalkeeper,Croatia,"
NK Zagreb ", 1.HNL ,"
NK Rastane ",,450 K €,Free transfer
"Oct 14, 2011",Melik Balkas,25,Right Winger,Turkey,"
Z. Kömürspor ", Turkey		,"
Kurtalan Spor ",,50 K €,Free transfer
"Oct 14, 2011",Georgios Katsikas,21,Centre-Back,Greece,"
Iraklis ", Greece		,"
PAOK Salonika ",,500 K €,Free transfer
"Oct 14, 2011",Burak Boz,25,Left-Back,Turkey,"
Amed SK ", 3.Lig Grup 1 ,"
Tekirdagspor ",,50 K €,Free transfer
"Oct 14, 2011",Josh Brizell,19,Right-Back,England,"
Cammell ", England		,"
Hyde United ",,50 K €,Free transfer
"Oct 14, 2011",Matthias Verschave,33,Centre-Forward,France,"
Tarbes Pyrénées ", France		,"
V. de C. ",,200 K €,Free transfer
"Oct 14, 2011",Mustafa Sallanbas,21,Midfielder,Turkey,"
Samsunspor U21 ", Turkey		,"
24 Erzincanspor ",,25 K €,Free transfer
"Oct 14, 2011",Hayrettin Yildiz,20,Midfielder,Turkey,"
Unknown ",,"
Zap Spor ",,25 K €,Free transfer
"Oct 14, 2011",Vladimír Balát,24,Defensive Midfield,Slovakia,"
Górnik Zabrze ", Ekstraklasa ,"
Moldava ",,125 K €,?
"Oct 14, 2011",Andreas Dober,25,Right-Back,Austria,"
Without Club ",,"
TSV Hartberg ",,350 K €,-
"Oct 14, 2011",Bálint Bajner,20,Centre-Forward,Hungary,"
Without Club ",,"
Sulmona Calcio ",,200 K €,-
"Oct 15, 2011",Matt Armstrong-Ford,22,Goalkeeper,England,"
Horsham FC ", England		,"
Hastings Utd ",,50 K €,?
